album_release_year,popularity
2003-12-08,87.53333333333333
2006-12-08,78.88461538461539
2007-12-08,79.82608695652173
2008-12-08,79.64285714285714
2009-12-08,86.23076923076923
2010-12-08,82.37078651685393
2011-12-08,87.03030303030303
2012-12-08,84.21052631578948
2013-12-08,82.85714285714286
2014-12-08,86.75
2015-12-08,83.89285714285714
2016-12-08,87.6969696969697
2017-12-08,83.31182795698925
2018-12-08,87.92
2019-12-08,88.71929824561404
2020-12-08,87.93805309734513
2021-12-08,83.90425531914893
2022-12-08,89.69565217391305
2023-12-08,84.59285714285714
